Designator,Footprint,Quantity,Value,LCSC Part #
"_35, _34, _33, _32, _31, _30, _29, _28",,8,,
"C10, C11, C12, C15, C23, C233, C24, C27, C30, C37, C38, C43",C_0805,12,22n,C77069
"C13, C216, C221, C223, C6, C7, C9",C_0603,7,10uF,C96446
"C14, C17, C22, C25, C26, C29, C31, C32, C33, C34, C35, C41, C42",C_0805,13,10uF,C440198
"C16, C18, C20, C21",C_0805,4,10u,
"C2, C222, C224, C225, C226, C227, C229, C237, C44, C45, C46, C47, C48, C49, C50, C51, C8",C_0402,17,100nF,C307331
"C202, C203, C204, C205, C206, C209, C210, C211",C_0805,8,1uF,C28323
"C207, C208",C_0805,2,12pF,C1792
"C212, C213, C214, C215",C_1206,4,22uF,C12891
"C217, C218, C219, C220",0402,4,68p,
"C228, C231",C_0805,2,1n,C46653
"C234, C235, C236, C3, C4",0402,5,15p,
C28,C_0805,1,10u,C440198
C53,C_0805,1,22nF,C77069
"D201, D202, D210, D211, D212, D213, D214, D215",SOT-23,8,BAS70-06,C22466364
"D203, D204, D205, D206, D208, D209",SOT-23,6,MMBD1503A,
D302,Texas_USON-6_1x1.45mm_P0.5mm_SMD,1,PRTR5V0U2X,C2937001
"IN_N201, IN_N202",octoprobe_breakout_PB,2,IN_N,
IN_N203,octoprobe_breakout_PB,1,IN_2_5,
IN_N204,octoprobe_breakout_PB,1,IN_5,
IN_N205,octoprobe_breakout_PB,1,IN_7_5,
IN_N206,octoprobe_breakout_PB,1,IN_10,
"IN_P201, IN_P213",octoprobe_breakout_PB,2,IN_P,
"IN_P202, IN_P214",octoprobe_breakout_PB,2,5V,
"IN_P203, IN_P215",octoprobe_breakout_PB,2,7V,
IN_P204,octoprobe_breakout_PB,1,9V,
IN_P205,octoprobe_breakout_PB,1,3V3,
IN_P206,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,~{OVLD},
IN_P207,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,5V_USB,
"IN_P208, IN_P212",octoprobe_breakout_PB,2,5VREF,
"IN_P209, IN_P216",octoprobe_breakout_PB,2,REFP,
IN_P210,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,GND_USB,
IN_P211,octoprobe_breakout_PB,1,1V8,
"J10, J11, J2, J20, J21, J31, J42, J43, J44, J45, J46, J5, J50, J51",stiftenleiste_bruecke,14,Conn_01x02_Socket,
J301,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
J401,stiftenleiste_bruecke,1,IN_t,
J402,stiftenleiste_bruecke,1,IN_disable,
K201,Relay_2P2T_10x6mm_TE_IMxxG,1,IM41,
L1,L_pol_2016,1,3.3u,C42411119
"Q201, Q202",SOT-23,2,CPH3910,C480726
"R1, R16, R201, R211, R212, R213, R215, R229, R232, R233, R240, R241, R242, R243, R301, R304, R33, R7, R8",R_0805,19,1kΩ,C110774
"R11, R12, R203, R205",R_0805,4,27,C17594
"R13, R202, R206, R207, R209",R_0805,5,1k,C110774
"R14, R204, R208, R210",R_0805,4,27Ω,C17594
"R15, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R234, R237, R238",R_0402,14,22Ω,C25092
"R2, R3, R41, R42, R43",0805,5,200,C218416
"R214, R216, R230, R231",R_0805,4,47kΩ,C17713
"R228, R235, R236, R239, R4",R_0805,5,10kΩ,
"R302, R303",0402,2,5.1K,
R34,R_0805,1,200, C218416
R5,0805,1,4k,C2828855
"R6, R9",R_0805,2,10kΩ,C17414
"SW1, SW2",SW_TS-1187A-B-A-B,2,SW_MEC_5E,C318884
TP201,distanzbolz_3,1,Bolzen1,
TP202,distanzbolz_3,1,Bolzen2,
TP203,distanzbolz_3,1,Bolzen3,
TP204,distanzbolz_3,1,Bolzen4,
U1,Analog_LCC-8_5x5mm_P1.27mm,1,REF7050,C6760318
"U201, U202, U208",LFCSP-8-1EP_3x3mm_P0.5mm_EP1.6x2.34mm_ThermalVias,3,ADA4523-1,C4371130
U203,TSSOP-14_4.4x5mm_P0.65mm,1,OPA4990,C2862600
U205,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,C284149
"U206, U209, U210",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,3,LM393,C7955
U207,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,ADS127L21IRUKR,C20606868
U211,SOT-223-3_TabPin2,1,AMS1117,C6186
"U212, U214",TSSOP-16_4.4x5mm_P0.65mm,2,SN74AVC4T245PWR,
U213,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVS,C179173
U215,SOT-223-3_TabPin2,1,AMS1117, C6185
U216,SOT-23-5,1,SN74LVC1G79,
"U217, U218",SO-5-6_4.55x3.7mm_P1.27mm,2,TLP2361,
U4,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,C42411118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
